t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Failed2 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Failed3 Successful44 Successful45 Successful46 Successful47 
10.0000000000 -10.8833099561 -11.3289421344 -11.0427806295 -11.2251621096 -10.6694053496 -10.9210719933 -11.3066645801 -10.4852080247 -3.7449921619 -3.6973206698 -11.0186319386 -3.9107937583 -11.6104738085 -12.0195947803 -11.1538046149 -3.6439197589 -4.7758657249 -3.6382094533 -3.5425401880 -3.5749000484 -3.3713307610 -11.7780822475 -11.4261459261 -11.8193294607 -10.7040535224 -11.4242742428 -3.3919018942 -3.7090685623 -11.1896757841 -11.6967236177 -3.4788175268 -11.6492329696 -11.5614987635 -10.8619671519 -11.6018906263 -11.1963429714 -10.5197103732 -10.4930453123 -4.0214431826 -11.8279169790 -10.4584096433 -10.3772429853 -11.4890110856 -10.7962546724 -11.1900623175 -11.4500503849 -4.0318715117 -11.2647376687 -3.7889280086 -3.9343705703 
11.0000000000 -10.8928579764 -11.1624038401 -11.0918844830 -11.1701298001 -11.1138880762 -10.8870271186 -11.1066904044 -10.1101706015 -3.8659256190 -4.2800952056 -10.7966209906 -4.0391505493 -11.6909405734 -11.0930748568 -10.6599608022 -3.7370238298 -4.1193138936 -4.2590868312 -3.2025998192 -3.6318569214 -3.9662108069 -10.7115177634 -10.3277831282 -11.6946341222 -10.8965015523 -11.5762875478 -3.0125587320 -3.5473234765 -11.3608947426 -10.9031089104 -3.8823161284 -10.7355425149 -10.4160675510 -9.8284961589 -11.9977726741 -10.8410960500 -10.8173329570 -10.5198241104 -3.0374277503 -10.9608291633 -11.0050952305 -11.1135205460 -11.7203913991 -10.6656915816 -10.8003525859 -11.2782967546 -3.3982541359 -11.4831175637 -3.7595899042 -4.1773387510 
12.0000000000 -10.0346606117 -10.9514308466 -10.4599399370 -10.2853233114 -10.7488593340 -10.4976514310 -10.3311495289 -10.3275708765 -3.5654029847 -4.5455558512 -10.5584182467 -3.4366989610 -11.1933300376 -10.4558352768 -10.5271367698 -3.5127129402 -3.6756249828 -3.7393576057 -4.1308905854 -4.4012550928 -3.3339922425 -9.4295652049 -10.4239631639 -10.7556245045 -10.2438948505 -10.9610386800 -3.1926878773 -3.8092141896 -10.1531204767 -10.3659730555 -3.5043941452 -10.6228007747 -10.5938228128 -10.5156723843 -11.1205623681 -11.3653300595 -10.9046275982 -11.0553241454 -3.8994742622 -10.8582659379 -11.2717152339 -10.9805348415 -10.5908532040 -9.7496703240 -11.2042578292 -11.0857426495 -2.7774037188 -11.3187836236 -3.5292106434 -3.9268736793 
13.0000000000 -9.9573220411 -10.5875628727 -10.0325693828 -10.5097318801 -10.0793745586 -10.5739948890 -9.8106819230 -10.3698954327 -3.0228283559 -4.7435839860 -10.5884525449 -3.7581672194 -10.4337482818 -10.0771422002 -9.8916609380 -4.1187403282 -3.1556229200 -3.5914313764 -3.8236610077 -4.4880209051 -3.7207469670 -8.8721408935 -9.8578453034 -9.9090143216 -10.6775733458 -10.3213397692 -4.2981011873 -3.6212614645 -10.1215654183 -10.4425100947 -3.4713588610 -10.7003834117 -10.6418237675 -10.0884407469 -10.2572197270 -10.3847390207 -10.3882611902 -9.9371182253 -3.9865261443 -9.7882912396 -11.2444500144 -10.3420195952 -9.5147539183 -9.6324947435 -10.5749673973 -10.6148301478 -3.2860413719 -9.8277540866 -3.9474140280 -4.0819247505 
14.0000000000 -8.9537191730 -9.1133145664 -8.9042837948 -9.2611616255 -8.9440515592 -9.9228671211 -9.1868742227 -9.0894409036 -3.3844849230 -4.2748278415 -9.1804319922 -3.4666488440 -9.2694668905 -9.0611778585 -8.8137871359 -4.0737291285 -3.5257665373 -4.1616583517 -4.8060280061 -3.7138582260 -4.0110995168 -8.6189553406 -9.0812234382 -9.0540171607 -10.1601667887 -9.3076138679 -3.6337449757 -4.0806372778 -9.0539617096 -9.4795988981 -3.1098566091 -9.2201874935 -9.7931654353 -9.3825964377 -8.6373988994 -8.9266234562 -9.9348017050 -9.2231492647 -3.6089330338 -9.5469002178 -9.9520667735 -9.2515218512 -8.5462272290 -8.5151896292 -8.6572539824 -8.8156518666 -3.4147988346 -9.0819126744 -4.0870425925 -3.1901239736 
15.0000000000 -6.3253994017 -6.4112660962 -6.5794076409 -6.3474264092 -6.0134433404 -6.8754614382 -6.2910489370 -5.8358652007 -3.2168188434 -3.6232723970 -5.8954815422 -2.9998632594 -5.5151848115 -6.6820042182 -5.7541526333 -3.8787103310 -3.5357942299 -3.6336504101 -3.3045543873 -3.7041625532 -3.5796552570 -5.8858218083 -7.4085234413 -5.4483700853 -6.7016542528 -6.5696156378 -3.5712539606 -3.1566506866 -6.4672103064 -6.2684967799 -3.2922913878 -6.6823266483 -6.9794309906 -6.3228410434 -5.9036676399 -6.2722426353 -6.7720752600 -6.5765671649 -3.6064210518 -6.3140401176 -7.2752723287 -6.8121530183 -6.5149542507 -5.9520404883 -5.4571219918 -6.7785447903 -3.4285579624 -5.8866161081 -3.2738616344 -3.8647139104 
16.0000000000 -2.2394356746 -2.4960616210 -2.3625724666 -2.3581278882 -2.8931839830 -2.9412940022 -2.3782934437 -1.9030879713 -2.4216125300 -1.6606398740 -2.5725909677 -2.2982552742 -1.8652937024 -3.2117288947 -2.1096205031 -2.4492237848 -2.4387995504 -2.3301313732 -2.1243692488 -2.1859167052 -2.4375324223 -3.1630205842 -3.5370494413 -2.5982106293 -2.6339686571 -2.2767487974 -1.3564477500 -2.0354098225 -3.0079705761 -2.1002002006 -1.3120659123 -2.7121319373 -2.9073955085 -2.6827346382 -2.0385979137 -2.8882186518 -3.0799776450 -4.2737544397 -2.5174639400 -2.0750545030 -2.1146568951 -3.2311318911 -3.2749218819 -2.5154107455 -1.9876988690 -3.4818745281 -0.5541953468 -2.6076529178 -2.4360304469 -2.3491364083 
17.0000000000 1.3473361947 0.5546228404 0.6021117162 1.0777425288 -0.1308779630 1.3625913280 0.8020608829 0.5954473110 -1.1041556121 -0.8527039060 0.2375866638 -0.7610440313 0.4867421411 -0.0416488945 0.2160047534 -0.8162023098 -0.2739000762 -0.9310920594 -0.6366939836 -0.9929677337 -1.3715836547 -0.4331070657 -0.8496849128 0.4448324256 0.1893497347 -0.0064047989 1.5162682175 -0.4969281675 0.5248396683 0.1290768844 -0.9637485891 0.7360240532 0.5764201859 0.4511206973 0.7877694850 -0.1426828570 0.0020817545 -0.8184968319 -0.8115950976 1.4153514468 0.8314013094 0.0403525908 0.4316681709 0.6249339805 0.6667440519 0.3189014812 0.6712869309 1.2240009599 -1.1831997947 -0.9288042805 
18.0000000000 2.4692086907 2.2427614211 1.5851522715 1.4792311549 2.0650905305 2.6151409618 1.9247807574 2.4044053733 -0.1010899468 -0.2001448562 1.5624670564 0.2240037845 1.9341819475 1.6991990395 2.3720039516 0.2714292787 0.5847922869 0.1479097579 0.7328262888 -0.1376950035 -0.2250910626 1.0003608272 1.1166272678 2.3572461105 2.5103830036 1.7478611259 1.9598409958 0.5364322292 1.8805088752 1.6219297927 -0.1335048769 1.2476333405 1.4969312103 2.2030130727 2.1642795791 1.1637717905 1.8169248117 1.6978387631 0.0645261818 2.9570872581 1.8107411983 2.2287299598 2.4118499695 1.6979458503 2.0249971750 1.6406925080 1.6621770340 2.2559853036 0.1418809270 0.3507457532 
19.0000000000 1.8807999667 2.8514099302 2.8591771410 2.9646008710 2.5938207245 3.4230695944 2.7172300210 2.8892776379 0.4043874951 1.2375916066 3.0368701003 0.4831906482 2.2554412945 2.3144570355 2.4379800227 0.4836349467 0.3437212711 0.4333336684 1.7724421935 0.0599824456 0.7983641399 2.5115393904 2.3653384102 1.8731465250 2.5293591922 1.9013521552 2.2076210625 1.3705291530 2.7074830522 2.3976736756 0.5490431065 1.5713792247 2.4574100628 2.7308923434 2.3765842623 2.5955503489 2.3992936247 2.9327662901 0.9366698759 3.0756419837 2.4280855386 2.2833411737 2.4843401062 1.8476697345 2.2452716633 2.9094937709 0.8410242612 2.8051756318 0.2277293691 0.6889890031 
20.0000000000 2.2101597579 2.2531256689 2.5548897070 1.9869780078 1.5950105058 2.4073256336 1.8298655761 2.2758234871 1.3540971363 1.0119228442 2.1584745983 1.2068093367 2.5275358555 1.5299071145 2.2731416078 1.2126630896 0.6915726201 0.7696038853 1.7284330458 0.7856582490 0.6159256030 2.6467889693 2.2583836502 1.7903673409 1.9703191496 2.1543277866 1.0237285621 0.9652889948 2.5238496038 2.3024317124 1.1147279018 1.5352751330 2.1606968516 2.2190740600 1.7872398850 2.4247749139 1.9412893897 2.5142019198 1.0855262783 2.4015686996 2.4472933599 1.9849079886 1.3660683189 0.8181142494 1.7876944309 1.9333552759 1.3405332623 1.3550523293 0.6387495273 0.9994169198 
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
                                                                                                      
