t y_pred y_true y_opt_min y_opt_max 
0.0000000000 -4.8896618204 -4.8836050101 -5.9656388763 -3.9566020328 
1.0000000000 -2.4145214294 -2.5972687173 -3.5558596584 -1.0712440969 
2.0000000000 0.1101618303 0.0434705503 -1.4232907509 1.2202483452 
3.0000000000 2.2717859768 3.0327834828 1.1188249676 3.5481631040 
4.0000000000 3.6725407671 4.3076959371 2.6580797428 4.9590230795 
5.0000000000 4.0604744633 4.0714530993 2.9997902801 5.3134786254 
6.0000000000 3.1903265676 2.4257841332 2.0919994630 4.4627159874 
7.0000000000 0.7764043747 0.5308718960 -0.4996309922 2.0311452255 
8.0000000000 -3.0299014352 -2.9608841139 -3.9633498191 -1.5895180641 
9.0000000000 -7.4730373110 -7.0347061634 -8.6801488543 -6.2596718211 
10.0000000000 -11.1133980904 -11.6140549641 -12.4789430451 -10.0000000248 
11.0000000000 -11.5724794072 -12.0182712773 -12.7749240201 -10.3621574045 
12.0000000000 -11.2689764127 -11.3915185093 -12.4868780783 -10.0000000359 
13.0000000000 -10.9840105070 -10.8265765774 -12.1950501117 -10.0000000310 
14.0000000000 -11.1568516211 -11.4395822281 -12.2725822696 -10.0000000314 
15.0000000000 -11.5723973057 -11.6182960795 -12.9656295361 -10.0000000255 
16.0000000000 -11.3460002706 -11.6059649054 -12.4877982691 -10.0000000292 
17.0000000000 -11.2277407142 -10.8368714701 -12.4206391656 -10.0000000300 
18.0000000000 -11.4703696313 -10.8135798702 -12.7891728056 -10.0000000322 
19.0000000000 -11.7811641323 -11.5634452822 -12.9808859585 -10.7567027861 
20.0000000000 -11.2156586383 -11.0962380230 -12.7087998755 -10.0000000246 
21.0000000000 -7.6514128646 -7.9359726824 -8.7445463634 -6.5165011325 
22.0000000000 -3.7160680713 -3.6404747665 -5.1319993387 -2.6278551797 
23.0000000000 -1.0202754366 -1.1779862498 -2.5694300360 0.4057767988 
24.0000000000 0.0332894166 0.6655987738 -1.3272840018 1.2120878625 
25.0000000000 0.0048768672 0.3087346635 -1.3266112446 1.1899984363 
26.0000000000 -0.0522520756 -0.0298070393 -1.0922790431 0.9201018735 
27.0000000000 1.1256250939 0.9607406583 0.0472838126 2.2006589016 
28.0000000000 3.8315980464 4.2194012069 2.8579744802 4.8457107624 
29.0000000000 7.7841351518 7.6535133602 6.7092310853 8.9895823080 
30.0000000000 11.1447944309 11.0651287002 10.0000000247 12.2988882429 
31.0000000000 11.5114789137 11.2201747736 10.3141697714 12.5891151452 
32.0000000000 11.0778833142 10.9654564969 10.0000000435 12.6786189233 
33.0000000000 11.0982103336 11.3155415634 10.0000000320 12.3590914538 
34.0000000000 11.2817954944 11.0574048105 10.0000000276 12.7078059056 
35.0000000000 11.3888174394 11.1915838591 10.0000000257 12.5712976122 
36.0000000000 11.1306133784 10.7802641547 10.0159877737 12.5535961960 
37.0000000000 11.4662608105 11.5940451148 10.0000000267 12.8020552110 
38.0000000000 11.5327065643 11.5500223920 10.3975024257 12.8677674635 
39.0000000000 11.9768497843 11.9771993721 10.8822760656 13.5258460905 
40.0000000000 11.6520846724 10.9099996196 10.0000000246 12.8470830248 
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
          
