t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Failed2 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Failed3 Successful44 Successful45 Successful46 Successful47 
0.0000000000 -4.6867142042 -4.6428326078 -4.5428675929 -4.8532339176 -4.6473065376 -5.1946244713 -4.4409408811 -4.6080665468 -4.8383133758 -4.4837028582 -5.4290755708 -4.9684447827 -5.6201380482 -4.9918544463 -5.3087895156 -5.0133519594 -5.4103836435 -4.7209081895 -4.8727634542 -4.2233017793 -5.0235009519 -4.9128863945 -5.1692768963 -5.2099060300 -4.4314669572 -4.2793691674 -5.0785854335 -4.0907071368 -4.9426846786 -4.8073835913 -5.0500134075 -5.1821407560 -4.8681790225 -4.7273452366 -5.1566811722 -4.6967739010 -4.9135674682 -4.3069136728 -5.1792344128 -4.5070633342 -4.6195559382 -4.8470937804 -4.8933566907 -4.9564285415 -4.6783139861 -4.9292677073 -5.1074960578 -4.9541424027 -5.1713701892 -5.3954666681 
1.0000000000 -2.2287620284 -3.2453810970 -3.1532760718 -2.5192282522 -2.2579748739 -2.6835738688 -2.1006250545 -2.6731899595 -2.3661379650 -2.8587583472 -3.0144218452 -2.9284769210 -2.8633742342 -2.7286640958 -2.7282969574 -2.8472906889 -2.5657845397 -2.6127400152 -1.6746064685 -2.6049709920 -2.2766933379 -2.6254083884 -2.1649743247 -2.9706561143 -2.7516413875 -3.1110121470 -2.7143094095 -2.4465972203 -2.4188538420 -2.9760104802 -2.9124824564 -2.1419539968 -3.3333867213 -2.6149581058 -2.7229357624 -2.5404094366 -2.3151703603 -2.7542493897 -2.3686902765 -2.5813254227 -2.6840569573 -2.9241705114 -2.6208187270 -2.5553940460 -2.5193369593 -3.0220689597 -1.8257628844 -2.6649954685 -2.7926557134 -2.1329593423 
2.0000000000 -0.9259205720 -1.7699667188 -1.4013342635 -1.4479255848 -1.1892359748 -0.4526821997 -0.0276971308 -0.0620179466 -0.7151648314 -0.9999598921 -0.5464455858 -1.1340158375 -0.3044494334 -0.7688448247 -0.6999076135 -2.0794828846 -1.1229276048 -3.3874775168 -0.9525326233 -0.6311576992 -0.8337509140 -0.4480737407 -0.3684686257 0.1416168963 -0.9184285258 -0.7923223261 -4.8483526259 -0.2320632713 -0.8174988813 -0.4895155450 -0.8489189774 -0.0104958965 -0.4078602388 -1.1142626741 -0.9136616064 -0.3079079269 -1.1649065412 0.0458848309 -1.2849177244 -0.7484582586 -0.9361172592 -0.6173212532 -0.6766978198 -0.5720158536 -0.0471221898 -0.9222180436 1.4653783530 -0.7778622170 -0.9057707533 -6.0527831193 
3.0000000000 -0.9640254921 -0.2973267897 -1.1741846695 -2.9401042475 -1.3098033854 -0.5805567707 0.2692322771 -0.2891698908 0.1191317729 -0.3681856338 -1.0990166978 -0.3542224919 -0.4718357138 -1.3619720086 -0.4871846279 -2.0617154942 -0.8577498309 -3.4568206350 -0.4546130854 -0.6117675434 -0.7899083486 -1.1489425149 -0.2725013431 -0.0008625749 -0.7732732801 -1.1958018052 -8.3337621092 0.2296999749 -1.0131471247 -0.3289612197 -1.3354959359 -0.4371376847 -0.4254537984 -0.9248432316 -0.2077414787 -0.4324267197 -1.1224688010 0.2824725255 -0.2021784614 -0.0411909087 -0.4514043541 -0.6133829955 -0.7711581856 -0.3825465978 -0.3888827613 -0.7582016431 1.9169163197 -0.4181251342 -1.4104567227 -9.4870121728 
4.0000000000 -3.0771785078 -1.8913675208 -2.8560404104 -5.3337166036 -1.9548821185 -1.6180198836 -2.7786275656 -2.4674792089 -3.4311370177 -2.1255314349 -2.7573255407 -1.2235748813 -2.4725647832 -3.4604558291 -2.4596241702 -1.6084469841 -1.4284731350 -4.2883972215 -2.8359408858 -1.4116757421 -2.3240193487 -2.2714190358 -2.6288942561 -2.3517062402 -2.2759504419 -2.6764098121 -8.9107972356 -1.8115379677 -2.6114865350 -2.8112313329 -2.8853583772 -2.5477772294 -3.3463223325 -2.8587674593 -3.3245891988 -3.4145687738 -3.1449463578 -2.3410636394 -1.7346007529 -2.1013356386 -2.0587817136 -2.8206782098 -2.4968943352 -2.3993660592 -2.5986796276 -2.1161293674 -0.5271582344 -1.9479498890 -2.3966992218 -9.0544976117 
5.0000000000 -4.6455500857 -3.2160629163 -5.8489106175 -4.1766736403 -3.2007339945 -2.9463477570 -6.2533201784 -6.0388207036 -6.8178691292 -3.4738936064 -5.8669524999 -2.9747931743 -5.9570135752 -6.7739355376 -5.8163145402 -2.8713511358 -3.8997989115 -3.5251453204 -4.1593750964 -3.5201298852 -3.6813516183 -5.6284800473 -6.0362188916 -5.6145025115 -6.3561047462 -6.3443272117 -4.2553538991 -2.6349958970 -6.0351194505 -5.9373654793 -3.8104102548 -6.0646069445 -6.1071533285 -6.7796180107 -7.0095790184 -6.3551056266 -6.0037758592 -5.6962994663 -3.8589105548 -6.4984207572 -5.2241599541 -5.7094652449 -6.1055279360 -5.8100492921 -5.9212798606 -5.4016998767 -3.7782713385 -6.0550040409 -3.1084473861 -3.9111469282 
6.0000000000 -3.8635604675 -3.6257323202 -9.0848228135 -4.2571223827 -3.8453296138 -3.2356461791 -8.7567985034 -8.8927103009 -9.2870611104 -3.9944355104 -9.4320735122 -3.2398332662 -8.6257719437 -9.3529224743 -9.4026022419 -3.5740884191 -3.9650892857 -2.8634420959 -3.3513857661 -4.0676050007 -3.6883860743 -8.7863582540 -8.5546248821 -8.8685696375 -8.3265386011 -8.7914859662 -4.5044627502 -4.2891021811 -8.8788145221 -9.4738004719 -3.9333541548 -9.9689077478 -9.4488393452 -8.9625458179 -8.4978853054 -8.4407166114 -9.0202075424 -9.5768282995 -3.5493018410 -9.7381598738 -8.9079406222 -8.5534573317 -9.0413787118 -9.4547812141 -8.9224360035 -8.8463444913 -3.6634438372 -9.0131102502 -2.9574064629 -4.0553761345 
7.0000000000 -4.0583078011 -3.3751114542 -10.1678142088 -3.6867300555 -3.5774142487 -3.8027333825 -10.4665899395 -10.6520006859 -10.9443518092 -4.6567992850 -10.6147384115 -3.3094527435 -10.0404176840 -10.8472045372 -9.8571374749 -4.4065804577 -3.7834661737 -3.8227649164 -3.3628218006 -3.6958501546 -3.2989017693 -10.0904591926 -10.5772083803 -9.9120850539 -10.1983138851 -10.5167750005 -3.7707827877 -3.6321721362 -10.5322720823 -10.5922885831 -4.1953015384 -10.5166321870 -9.9709083231 -10.2956362754 -10.3381917518 -9.5995588028 -9.8990953353 -10.2018325454 -3.5502611105 -10.7536118483 -10.1864140303 -10.6306027615 -9.9405821860 -10.7796684994 -9.9916531148 -9.3960649183 -3.6086583536 -10.1420756435 -3.2130311561 -3.3689749852 
8.0000000000 -3.8891273658 -3.6354904740 -11.1558149385 -3.8194045316 -4.0321667740 -4.4519419904 -10.0985242392 -11.1986204788 -10.8091015233 -4.2295592440 -10.7392832377 -4.1205040594 -10.9537158993 -10.9351104351 -9.8487531840 -3.8667958262 -4.7479639179 -3.2229026509 -3.3104050462 -4.0467400116 -3.7989092150 -10.7543806052 -9.9876787741 -11.2923478551 -10.2542453542 -10.6067860134 -3.2742786528 -3.8494310274 -11.3249377018 -10.6484089394 -3.4007074685 -10.6027319039 -10.8881206565 -11.2428379968 -11.1044265883 -10.3003508663 -10.4945152073 -9.8413995227 -3.5734625630 -11.9162980616 -10.2982263407 -9.9049148828 -10.5503923755 -11.8196454526 -11.4658150434 -9.1850469395 -3.7822419017 -10.1911117575 -3.5966153493 -2.8844131396 
9.0000000000 -3.9796252612 -3.6484757171 -11.1689717680 -3.1021198942 -3.2025079845 -4.7036167224 -10.5865130857 -10.7646582955 -11.2847802030 -4.2203838272 -11.0422242005 -3.7429568900 -11.2155861472 -11.4498361857 -11.2162467650 -3.7764482022 -4.8055551522 -3.9403923361 -3.4232516197 -3.2636275841 -3.3680705981 -10.8249142155 -11.3473124459 -11.3884121854 -11.3054455884 -11.1734236865 -3.4736241455 -3.5032317223 -11.3311256579 -10.9222600535 -3.9856799287 -10.1885192342 -10.7615265550 -10.3457105520 -11.4138886070 -11.3316803271 -10.5153371768 -10.8150185596 -3.8992238209 -11.5535580337 -10.7313054194 -10.8395012559 -10.9397137172 -10.4175647352 -10.9550299262 -10.7465217158 -3.5764490063 -11.0127964241 -3.5687044207 -3.4384846949 
