t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Failed2 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Failed3 Successful44 Successful45 Successful46 Successful47 
0.0000000000 -4.6867142042 -4.6428326078 -4.5428675929 -4.8532339176 -4.6473065376 -5.1946244713 -4.4409408811 -4.6080665468 -4.8383133758 -4.4837028582 -5.4290755708 -4.9684447827 -5.6201380482 -4.9918544463 -5.3087895156 -5.0133519594 -5.4103836435 -4.7209081895 -4.8727634542 -4.2233017793 -5.0235009519 -4.9128863945 -5.1692768963 -5.2099060300 -4.4314669572 -4.2793691674 -5.0785854335 -4.0907071368 -4.9426846786 -4.8073835913 -5.0500134075 -5.1821407560 -4.8681790225 -4.7273452366 -5.1566811722 -4.6967739010 -4.9135674682 -4.3069136728 -5.1792344128 -4.5070633342 -4.6195559382 -4.8470937804 -4.8933566907 -4.9564285415 -4.6783139861 -4.9292677073 -5.1074960578 -4.9541424027 -5.1713701892 -5.3954666681 
1.0000000000 -2.2287620284 -3.2453810970 -3.1532760718 -2.5192282522 -2.2579748739 -2.6835738688 -2.1006250545 -2.6731899595 -2.3661379650 -2.8587583472 -3.0144218452 -2.9284769210 -2.8633742342 -2.7286640958 -2.7282969574 -2.8472906889 -2.5657845397 -2.6127400152 -1.6746064685 -2.6049709920 -2.2766933379 -2.6254083884 -2.1649743247 -2.9706561143 -2.7516413875 -3.1110121470 -2.7143094095 -2.4465972203 -2.4188538420 -2.9760104802 -2.9124824564 -2.1419539968 -3.3333867213 -2.6149581058 -2.7229357624 -2.5404094366 -2.3151703603 -2.7542493897 -2.3686902765 -2.5813254227 -2.6840569573 -2.9241705114 -2.6208187270 -2.5553940460 -2.5193369593 -3.0220689597 -1.8257628844 -2.6649954685 -2.7926557134 -2.1329593423 
2.0000000000 -0.8567096530 -1.6930803484 -1.7574606138 -1.3119465051 -1.1030433610 -0.3297142277 -0.4021267902 -0.4788517457 -1.0674571642 -0.8735199714 -0.5571801313 -1.0758272135 -0.6721353561 -0.9561710704 -1.1765844313 -2.0114202042 -1.0559056759 -1.6261117090 -0.8291810986 -0.5642001203 -0.7743697580 -0.8508232041 -0.7469856492 -0.2865523177 -1.2603414192 -1.2506963568 -1.0999322152 -0.2270150720 -1.0915991698 -0.9575037211 -0.7367461034 -0.3472722793 -0.6229026720 -1.4213986998 -1.2225761153 -0.5242152287 -1.3131784890 -0.3644003104 -1.2828166625 -1.0588834540 -1.2915379278 -0.9646326941 -1.0479994894 -0.9690096574 -0.3948375037 -3.7870513810 -0.3410464341 -1.0676194106 -0.8213179999 -1.6118295936 
3.0000000000 -0.7418715225 -0.1336742028 -1.4993811454 -0.8276546007 -1.1043946910 -0.2824967711 -0.1181955651 -0.7756907227 -0.2036865859 -0.0660712282 -1.1070585117 -0.2158661266 -0.8292109039 -1.2884097552 -1.1054398601 -1.8736318545 -0.6916171290 -0.0644201182 -0.1312299772 -0.4337931562 -0.6420763618 -1.5795983530 -0.6693417956 -0.4975498548 -1.0859273193 -1.7819674258 -0.7026038909 0.2477795461 -1.1618076879 -0.9146621964 -1.0812363825 -0.7142561844 -0.4330722920 -1.1697545631 -0.4269579185 -0.4249814109 -0.9594605457 -0.1779771396 -0.1731230185 -0.2840331038 -0.7995375769 -0.9436641227 -1.1576696011 -0.8090008793 -0.7014620790 -5.8923713690 -0.6596740052 -0.5885320164 -1.2022369944 -0.1258564506 
4.0000000000 -2.6956048375 -1.6897192402 -2.1747907164 -2.3728329213 -1.6793370400 -1.2230947855 -2.2131078749 -2.0335550591 -2.7539499979 -1.7162439108 -2.7262458622 -1.0441054630 -1.8458873934 -2.2533155118 -2.1773983139 -1.3034569872 -1.1843449286 -1.3867880631 -2.3458331499 -1.1298003748 -2.1065973924 -1.7204774412 -2.0651773857 -1.8974718234 -1.6193952888 -2.3760987844 -2.3704112191 -1.7733160427 -1.7328272602 -2.4631063098 -2.5574918476 -1.7966119688 -2.2723306825 -2.1481164798 -2.5024183330 -2.2911659909 -1.8259801216 -1.8503486543 -1.6486421133 -1.3577357957 -1.4616281568 -2.1933933553 -1.9348497515 -1.8459492441 -1.9148619451 -5.4190422808 -1.8798755899 -1.0613716930 -2.1019987291 -1.2336497971 
5.0000000000 -4.2301682386 -3.0488185299 -3.0703656076 -3.8277583434 -2.9918974273 -2.6706008757 -3.6148676778 -3.5026474713 -4.0454292737 -3.1469987922 -5.7541682925 -2.8512225596 -3.2519905559 -3.6088151838 -3.3410526112 -2.5285273976 -3.6566443832 -3.0747918731 -3.6917032741 -3.2136609788 -3.4677919805 -2.9335864117 -3.3635159529 -3.0001775570 -3.6703895407 -3.9110057159 -3.7602720406 -2.5742107041 -3.1865900205 -3.3805307487 -3.5633711244 -3.2152274478 -3.0833622421 -4.1327033917 -4.1035824067 -3.2452276881 -2.7712114174 -3.0729153595 -3.7000358167 -3.7561506341 -2.6223864030 -3.0540232127 -3.4640945962 -3.0919244977 -3.1680501069 -3.0008044704 -3.3682910492 -3.1130881785 -2.8493061371 -3.5230024975 
6.0000000000 -3.6398164212 -3.5498464100 -3.6873405623 -4.0836004764 -3.9009332791 -3.3646981746 -3.4480050456 -3.5705928468 -3.8831811970 -4.0167850551 -9.2207843538 -3.2884025192 -3.3199241227 -4.0662020146 -3.9127298316 -3.3378482430 -3.8494932562 -2.8631151634 -3.2502036752 -3.8928739468 -3.5996985462 -3.3465253083 -3.1485640954 -3.4092627166 -3.0871781990 -3.4565449378 -4.0165663079 -4.2112133697 -3.7192951015 -3.9523086444 -3.9716814666 -4.5242909790 -4.2333441083 -3.9315299507 -3.0470886596 -3.1184068892 -3.7994619467 -4.1564332208 -3.3273367388 -4.5422905180 -3.7837024506 -3.3327249431 -3.7007786895 -3.9321121705 -3.5915816994 -3.5556945483 -3.5607715713 -3.6150271248 -2.9164609324 -3.9760967785 
7.0000000000 -3.9616955838 -3.3101762828 -3.3056618199 -3.6650359715 -3.7237229121 -3.7412706533 -3.6189489745 -4.0795337921 -4.3674115807 -4.5493141873 -10.4785422859 -3.2730681646 -3.5681959291 -4.5218756545 -3.2586418807 -4.0724170245 -3.7919040185 -3.4074893097 -3.2440481001 -3.6490260144 -3.2535137811 -3.3867584170 -4.0806810162 -2.9969339986 -3.7988705067 -4.1350847221 -3.5806172783 -3.5948756224 -3.9840592292 -4.0310895407 -4.0958225413 -3.7804017192 -3.6063774211 -3.9264828955 -3.7337812728 -3.0398894965 -3.4771467844 -3.5411770556 -3.4387654492 -4.0503457936 -3.6555185038 -4.0662575285 -3.4896983427 -3.9666067018 -3.3929574797 -2.9610294124 -3.5130385531 -3.7093765245 -3.2677674348 -3.2655092623 
8.0000000000 -3.7619967825 -3.4378757646 -3.5660191101 -3.7401591024 -4.0335381720 -4.3688606791 -2.8174860625 -4.0172809805 -3.5844513843 -3.8565445578 -10.4732605597 -3.9906600514 -3.8673626344 -4.0304368843 -2.7781651170 -3.6064717079 -4.6722161482 -3.2344394215 -3.0874104407 -3.9988389249 -3.7380129684 -3.6319055723 -2.9301761683 -3.8973662584 -3.2858405439 -3.6862705534 -3.3954130935 -3.8635331909 -4.1073813253 -3.7001820240 -3.0761911339 -3.2396842348 -3.7674656400 -4.0334533488 -3.8508829765 -2.8624531906 -3.5108187505 -2.8545192576 -3.5022914919 -4.5441012159 -3.2311337481 -2.9712053896 -3.4414933145 -4.4003766167 -4.3787072097 -2.2787948865 -3.7227100687 -3.1593049535 -3.5890591676 -2.8507852455 
9.0000000000 -3.6989181811 -3.3765983877 -3.7449847710 -2.9521773061 -3.1448755798 -4.5207752260 -3.0174650045 -3.3130327769 -3.7079743746 -4.1082378447 -10.6882132573 -3.6863396736 -3.8809659350 -4.1307867233 -3.6734460381 -3.6932866610 -4.5709153363 -3.7641366478 -3.3980722492 -3.2366862308 -3.1273948514 -3.3570506095 -3.8031602904 -3.7816837409 -3.9264592498 -3.5425740955 -3.5110555205 -3.5367421436 -3.8120038284 -3.5169745793 -3.8803538734 -2.8468311194 -3.3395844453 -2.9898553956 -4.0140906081 -3.7238623015 -3.2147185790 -3.3517199521 -3.7537666592 -4.0377355188 -3.3255700256 -3.5944820508 -3.1366753539 -2.9267771936 -3.7840038613 -3.4435879659 -3.3712937289 -3.7176475787 -3.4361076269 -3.5799200965 
