t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Failed2 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Failed3 Successful44 Successful45 Successful46 Successful47 
0.0000000000 -4.9591044184 -4.4511456422 -4.6002663296 -4.4931435108 -4.8860420815 -5.6289894829 -4.9076027086 -5.2011628105 -4.3531228973 -5.1723709195 -5.4290755708 -4.9684447827 -5.6201380482 -4.9918544463 -5.3087895156 -5.0133519594 -5.4103836435 -4.7209081895 -4.8727634542 -4.2233017793 -5.0235009519 -4.9128863945 -5.1692768963 -5.2099060300 -4.4314669572 -4.2793691674 -5.0785854335 -4.0907071368 -4.9426846786 -4.8073835913 -5.0500134075 -5.1821407560 -4.8681790225 -4.7273452366 -5.1566811722 -4.6967739010 -4.9135674682 -4.3069136728 -5.1792344128 -4.5070633342 -4.6195559382 -4.8470937804 -4.8933566907 -4.9564285415 -4.6783139861 -4.9292677073 -5.1074960578 -4.9541424027 -5.1713701892 -5.3954666681 
1.0000000000 -2.2341388870 -3.0415761653 -3.1608554693 -2.5488294847 -2.1892287294 -2.3386256834 -2.1051879339 -2.3938419764 -2.4972128918 -2.9042948078 -3.0144218452 -2.9284769210 -2.8633742342 -2.7286640958 -2.7282969574 -2.8472906889 -2.5657845397 -2.6127400152 -1.6746064685 -2.6049709920 -2.2766933379 -2.6254083884 -2.1649743247 -2.9706561143 -2.7516413875 -3.1110121470 -2.7143094095 -2.4465972203 -2.4188538420 -2.9760104802 -2.9124824564 -2.1419539968 -3.3333867213 -2.6149581058 -2.7229357624 -2.5404094366 -2.3151703603 -2.7542493897 -2.3686902765 -2.5813254227 -2.6840569573 -2.9241705114 -2.6208187270 -2.5553940460 -2.5193369593 -3.0220689597 -1.8257628844 -2.6649954685 -2.7926557134 -2.1329593423 
2.0000000000 -0.9407128631 -0.8393922524 -0.6803188680 -1.0950910117 -1.1772614643 -0.9154619357 -1.1462527190 -0.4866478597 -1.0967459596 -1.2155490248 4.0156581077 -1.0757393551 -0.6720832767 -0.9570566077 -1.1765506990 -2.0114022160 -1.0559152618 -1.6262686097 -0.8292200927 -0.5642042880 -0.7741282565 -0.8507781689 -0.7464402176 -0.2851347125 -1.2600531047 -1.2508280045 -1.0999542786 -0.2270749674 -1.0918461774 -0.9561001984 -0.7367695872 -0.3471893281 -0.6228793035 -1.4210579582 -1.2224475910 -0.5243821890 -1.3134118184 -0.3639396363 -1.2825317801 -1.0584874384 -1.2915554210 -0.9647626191 -1.0477136968 -0.9685357288 -0.3940175657 -3.7529147219 -0.3404842359 -1.0678593046 -0.8212691100 -1.6117048025 
3.0000000000 -1.2200501706 -0.8732109048 -1.0007615374 -1.1378686357 -0.3442893782 -0.4351521594 -0.5992556499 -0.7244041323 -0.6442744839 -1.0854397752 3.4691974520 -0.2156401658 -0.8290438574 -1.2901835263 -1.1054141525 -1.8735989467 -0.6915650608 -0.0647225414 -0.1313380201 -0.4337511505 -0.6415191402 -1.5794781894 -0.6681343425 -0.4939432326 -1.0851527895 -1.7824500380 -0.7026548091 0.2476238056 -1.1625777417 -0.9115460574 -1.0813237463 -0.7141240816 -0.4329705890 -1.1687797797 -0.4267872436 -0.4252841194 -0.9599202324 -0.1770681842 -0.1725345593 -0.2830472280 -0.7995458011 -0.9438359328 -1.1568816435 -0.8078257744 -0.6995762266 -5.8299936780 -0.6582338224 -0.5889763025 -1.2020486433 -0.1256022452 
4.0000000000 -1.7773525287 -1.6472063057 -2.1760233741 -2.2269831625 -2.0534396146 -1.6336042623 -2.2799829166 -1.8043188181 -1.6645257858 -2.1865088103 -1.1400796957 -1.0437787622 -1.8455416764 -2.2550249064 -2.1774419428 -1.3034291347 -1.1841678451 -1.3870179245 -2.3459609273 -1.1296461373 -2.1058665197 -1.7203059225 -2.0637309158 -1.8923215175 -1.6181435981 -2.3771083108 -2.3704780871 -1.7734965193 -1.7342813477 -2.4594467590 -2.5576922663 -1.7965225448 -2.2720898369 -2.1465203330 -2.5024073353 -2.2913912230 -1.8263811438 -1.8495334836 -1.6480642419 -1.3563121646 -1.4615651135 -2.1933899692 -1.9335688779 -1.8442750787 -1.9125094122 -5.3711005868 -1.8777005337 -1.0617072195 -2.1015885725 -1.2334497623 
5.0000000000 -2.9766111136 -3.6011387645 -3.7596162097 -2.9536944189 -2.5597617724 -3.6122858458 -3.0575927440 -3.1042775245 -3.8078035295 -3.3292399570 -3.4852534035 -2.8509160753 -3.2513643226 -3.6088698178 -3.3411740069 -2.5285223212 -3.6564145149 -3.0745598840 -3.6917530619 -3.2133871651 -3.4672273821 -2.9334682258 -3.3627594453 -2.9958245297 -3.6688685829 -3.9125167148 -3.7603344283 -2.5742182646 -3.1886171028 -3.3788981543 -3.5636967997 -3.2152285391 -3.0829240896 -4.1309568548 -4.1038240424 -3.2450677103 -2.7710633140 -3.0731027826 -3.7000452573 -3.7548303681 -2.6221932342 -3.0537365729 -3.4625952957 -3.0904099554 -3.1666347667 -3.0007215296 -3.3661071220 -3.1128503120 -2.8486223461 -3.5231501408 
6.0000000000 -3.8702014038 -3.3135812569 -3.5827424755 -3.0146985979 -3.7212461384 -3.2602266919 -3.3886479276 -3.5364655500 -4.2748029837 -3.5945344190 -4.0975556561 -3.2882499209 -3.3188275982 -4.0630257706 -3.9128434077 -3.3378554230 -3.8495059298 -2.8619919756 -3.2501884473 -3.8926096900 -3.5997545734 -3.3466362957 -3.1497328329 -3.4092000206 -3.0856656076 -3.4582012054 -4.0166212246 -4.2108200079 -3.7213823710 -3.9560109060 -3.9720284271 -4.5243049500 -4.2326468124 -3.9304934454 -3.0473320412 -3.1175902966 -3.7982587342 -4.1585239843 -3.3285481254 -4.5419088303 -3.7833832700 -3.3324372666 -3.6994894569 -3.9316985360 -3.5928782964 -3.5553378906 -3.5598598822 -3.6138289968 -2.9154711519 -3.9767485761 
7.0000000000 -3.4087240944 -3.6617756828 -4.6780299016 -3.5495932976 -3.1449639071 -3.1166794368 -3.7905250094 -3.4782689206 -3.8610680782 -4.4192790767 -3.9413855291 -3.2729188424 -3.5675689783 -4.5185997157 -3.2599401018 -4.0720402411 -3.7916775245 -3.4072493196 -3.2432082050 -3.6483393779 -3.2532380942 -3.3869895402 -4.0809569452 -2.9982691549 -3.7977583929 -4.1347150442 -3.5806779472 -3.5948763024 -3.9851279217 -4.0335220669 -4.0954876341 -3.7794580210 -3.6056133623 -3.9263425961 -3.7339561801 -3.0398789300 -3.4760046885 -3.5436616326 -3.4398625042 -4.0507837081 -3.6553161920 -4.0658901917 -3.4882081034 -3.9665957415 -3.3942902855 -2.9611895785 -3.5143079774 -3.7079437885 -3.2670317898 -3.2665006032 
8.0000000000 -3.7891058033 -3.5563440177 -4.0785189532 -3.0447311374 -3.3476021801 -3.1678284773 -3.6015857528 -3.6592874822 -3.5699454608 -3.6953627632 -3.3712920068 -3.9903572000 -3.8657843263 -4.0303930791 -2.7780751785 -3.6059116072 -4.6719889173 -3.2342017639 -3.0862521289 -3.9973975742 -3.7380527368 -3.6317887546 -2.9285814386 -3.8968771409 -3.2843112758 -3.6859126628 -3.3954776533 -3.8635397404 -4.1060615558 -3.7001410851 -3.0764995155 -3.2384230285 -3.7670143773 -4.0335459995 -3.8527920488 -2.8634249828 -3.5121539937 -2.8547343082 -3.5025440399 -4.5428434532 -3.2311603111 -2.9708454333 -3.4384820341 -4.3988823065 -4.3773701093 -2.2788529832 -3.7228847066 -3.1580948006 -3.5904566515 -2.8509312328 
9.0000000000 -4.1891794328 -3.8577583016 -3.8937205908 -3.2192093624 -4.0675794348 -3.0582911392 -3.3191450926 -3.8209585391 -3.4426471961 -2.7494344680 -3.4983159640 -3.6863420517 -3.8803253489 -4.1336202021 -3.6715083886 -3.6932874738 -4.5706892655 -3.7630353421 -3.3981498885 -3.2350224750 -3.1274445065 -3.3569382306 -3.8011091595 -3.7817098536 -3.9278746210 -3.5429341709 -3.5103822764 -3.5365461217 -3.8104120267 -3.5154165709 -3.8812001245 -2.8473591475 -3.3399479575 -2.9902277379 -4.0143307369 -3.7238630860 -3.2160797304 -3.3516594952 -3.7531860298 -4.0357386311 -3.3253778583 -3.5932392187 -3.1335385356 -2.9280579279 -3.7829495788 -3.4437871781 -3.3713752894 -3.7159001015 -3.4368316865 -3.5787610525 
