t Successful1 Successful2 Successful3 Successful4 Successful5 Successful6 Successful7 Successful8 Successful9 Successful10 Successful11 Successful12 Successful13 Successful14 Successful15 Successful16 Successful17 Successful18 Successful19 Successful20 Successful21 Failed1 Successful22 Successful23 Successful24 Successful25 Successful26 Successful27 Successful28 Successful29 Successful30 Successful31 Successful32 Successful33 Successful34 Successful35 Successful36 Successful37 Successful38 Successful39 Successful40 Successful41 Successful42 Successful43 Successful44 Failed2 Successful45 Successful46 Successful47 Successful48 
10.0000000000 -3.6846161969 -4.5046256251 -4.1344617920 -2.9884939025 -4.2273201658 -4.1474070918 -3.1712813550 -3.5487184257 -3.4884107421 -3.5631482128 -10.9482269489 -3.9218124823 -11.6973918062 -11.4965317949 -11.0777725069 -3.6751287198 -4.5278129184 -3.4432276108 -3.4734988335 -3.5052372724 -3.3027314219 -4.2512193263 -4.0290019025 -11.5631021991 -3.1363636053 -11.1899338391 -3.3474658104 -3.6905020956 -3.5216785997 -4.1408228600 -3.3957170260 -4.1778424959 -11.4888035241 -3.4459684437 -4.0869210780 -3.7551069663 -3.2001777371 -10.5688944512 -3.9840717893 -4.2861150622 -3.1899791092 -3.0439518890 -11.3411911888 -3.3432406086 -11.1499735043 -11.3483492057 -3.8175112325 -3.8404695555 -3.7212109574 -3.7408872789 
11.0000000000 -3.2076833739 -3.9217967905 -4.2302994589 -3.7315588173 -3.6117465076 -3.5695193618 -3.5396315553 -3.1228388481 -3.5153328544 -4.2354560502 -10.6675235193 -3.9619692906 -11.5882742641 -10.9807372486 -10.6473394346 -3.7385991297 -4.0108425705 -4.0808784614 -3.1968522298 -3.6645009195 -3.9273097595 -3.2799611560 -2.9992109281 -11.5053485391 -3.5267235394 -11.5518110173 -2.9612434581 -3.5163963977 -3.9295136811 -3.5629740528 -3.8456722486 -3.4330565504 -10.4469990726 -2.5382818404 -4.5450222368 -3.5871439456 -3.5990102237 -10.5673208475 -2.9831003421 -3.4613294593 -3.7067885229 -3.8578473419 -11.5602596212 -3.3210481429 -10.8570327166 -10.8983921934 -3.1726119151 -3.9153684960 -3.6997404652 -4.1119291387 
12.0000000000 -3.2682505876 -3.7187598767 -3.9085525292 -4.2397876932 -3.5498925819 -3.5312417246 -3.8377187210 -3.2517599230 -2.6104652237 -3.1567862811 -10.6532482752 -3.3709403095 -11.0746068077 -10.6043499089 -10.4751668543 -3.5198558812 -3.5562780370 -3.6780971224 -4.1063287419 -4.3768156875 -3.0947744029 -2.4628315800 -3.3891403953 -10.6674178396 -3.1632887356 -10.7467027313 -3.2765410199 -3.7918518051 -3.1210350963 -3.3294990771 -3.5180840363 -3.5171743892 -10.7180159999 -3.3505436014 -4.1098134997 -4.3440995088 -3.6919321128 -10.9039385513 -3.8344945814 -3.7225447546 -4.1783178551 -3.9163828187 -10.2711310682 -2.5721972671 -11.0360799752 -10.9677022032 -2.7167987627 -4.1063719328 -3.4856801161 -3.7713374270 
13.0000000000 -4.0258388626 -3.8312580154 -3.9050820254 -4.1239361641 -3.2844055108 -3.7309653590 -4.4162020034 -3.5464851864 -3.8554989545 -3.0794810824 -10.6689242385 -3.7028206452 -10.2639577976 -10.1734792524 -9.8383445201 -4.1257322933 -3.1439283316 -3.7718771815 -3.8572811919 -4.4188821581 -3.5179031031 -2.3521266095 -3.4516076543 -9.8010947367 -4.1633246266 -10.1752551832 -4.3110767586 -3.6052849848 -3.5527729136 -3.6536067128 -3.4927670536 -3.9587343767 -10.5691503960 -3.4280334776 -3.8032355317 -3.8165828140 -3.9073142518 -9.9823668171 -3.9001029396 -3.1276841728 -4.6832035838 -3.9020073074 -9.4279962492 -2.8080043747 -10.5353336244 -10.5747984347 -3.3124285476 -3.2795387925 -3.9924830279 -4.1219569194 
14.0000000000 -3.2601388543 -4.2192510200 -4.4281305530 -4.4149123649 -3.4752020420 -4.0237679706 -4.1889655204 -3.6656359841 -3.3640208923 -3.4286952432 -9.0749565060 -3.3794071304 -9.1126341293 -9.1234177997 -8.8044535978 -3.9959556422 -3.4888040574 -4.1574205236 -4.8151139767 -3.6571740404 -3.9070399624 -3.1893275262 -3.6724637470 -8.8979779441 -4.7304701337 -9.2151075948 -3.4268365111 -4.0602964922 -3.5478835294 -4.1616118505 -3.1539033334 -3.8663771847 -9.3768978354 -4.0825873849 -3.2180044599 -3.4859515198 -4.5344749591 -9.2379988378 -3.6287508944 -4.2038408038 -4.5798359435 -3.9361593354 -8.5534924092 -3.1063393421 -8.6270869849 -8.8220683894 -3.4346656965 -3.7719449311 -4.0466089313 -3.2606836107 
15.0000000000 -3.1238294208 -2.9439396416 -4.0442181505 -3.5898132879 -3.6193278413 -4.0117157051 -4.3008552607 -3.6567908712 -3.7189260596 -4.0595969327 -5.8008392603 -2.7928975865 -5.5410392686 -6.7174619497 -5.8278756100 -3.7071461131 -3.3484753655 -3.3069548887 -3.2539952765 -3.5876277890 -3.4504310259 -3.1738499625 -4.6171123456 -5.3979820838 -4.1371064661 -6.3698244414 -3.3224690034 -3.1363459222 -3.8322473951 -3.7519253452 -3.2947033339 -4.1712910069 -6.8933832339 -3.7984785581 -3.3902056896 -3.8171012748 -3.8946517552 -6.2314934870 -3.5539306788 -3.7550935033 -4.4678616272 -3.7429758544 -6.5073608815 -3.3444598319 -5.5341617246 -6.5873430315 -3.3195212225 -3.3342588728 -3.0885623262 -3.7243763385 
16.0000000000 -2.1526042960 -2.5012361887 -2.9009759451 -2.3997404983 -2.5892744102 -2.8054151944 -2.2657581164 -2.5010585592 -2.4158012029 -2.0658965683 -2.5144172740 -2.0796994093 -1.9963381808 -3.2176184448 -2.2140473594 -2.2729195043 -2.2130147677 -1.9309679779 -2.0505001965 -2.0615770142 -2.3358934540 -2.9000948343 -3.1782064789 -2.6270926752 -2.5745079000 -2.0666605578 -2.8280541173 -2.0272641565 -2.8986372156 -2.0233733395 -1.2874226990 -4.2129978980 -3.0489974032 -2.5865406996 -2.0215118958 -2.9708736185 -2.5770294660 -3.8084609012 -2.4394393196 -1.9568753862 -1.7004270727 -2.4397781083 -3.2595190323 -2.3732994324 -2.1066879262 -3.2207340970 -2.2008141421 -2.4616941152 -2.2175480523 -2.1085370985 
17.0000000000 -0.8842504139 -1.6938028755 -1.2581277510 -0.8391110427 -1.4744963281 -1.3219271792 0.0226202413 -0.9976737653 -1.0686028905 -1.1759914138 0.2564270965 -0.6011008106 0.3318969934 -0.0280306707 0.1244836263 -0.6899452760 -0.0927711774 -0.6081969584 -0.5709996822 -0.9012469939 -1.3169875347 -1.7184866983 -2.0580357192 0.3770529651 -1.2720799531 0.1468351947 -0.5460910342 -0.4985216604 -0.9140047099 -1.2809910571 -0.9302652441 -2.7217230805 0.3407090688 -0.9384446737 -0.6980958619 -1.7232191300 -1.0705397157 -0.4206594386 -0.7416573149 0.0336163302 -0.3145463424 -0.7723937899 0.4471358539 -0.7548697062 0.5582821171 0.5436629864 -1.5347395469 -0.1176669379 -1.0103522666 -0.7002277209 
18.0000000000 -0.0153247863 0.4904351303 -0.1030716772 0.3016193335 -0.5302694073 -0.1205511662 1.2309735688 0.2730503387 0.4466515718 -0.2297822496 1.5520554026 0.3007964525 1.8115099426 1.7204364605 2.3156826001 0.3297808545 0.6847889857 0.3281753520 0.7739074493 -0.0930618564 -0.2150994875 -0.8283881451 -0.6695345579 2.2864620394 0.5748479553 1.8210201739 0.1617377889 0.5294732889 -0.0555888328 -0.2572546478 -0.1047624564 -2.3469183569 1.2754678949 0.3388617273 0.2224030174 -0.8413323844 0.1207479931 1.9358512512 0.1086305271 1.0899241363 0.0724713575 0.6973473952 2.4227162476 -0.1810657303 1.9553900941 1.7761982060 -0.2176861101 0.4242417550 0.2354932768 0.5035356948 
19.0000000000 0.6585607412 0.3545601127 0.7409919513 0.6245515044 -0.0236090301 0.7368892362 1.8413989593 0.8270679570 0.8870460579 0.3550823381 3.0120306908 0.4870551842 2.1888747767 2.3338947485 2.4196749420 0.4837377748 0.3650396404 0.4739418802 1.7864311213 0.0629730930 0.7785955155 0.9053935060 0.7683385206 1.8217949088 0.8900214420 1.9045149213 1.1075024446 1.3624386263 1.0538626588 0.8007746678 0.5663182461 -1.0268897017 2.3109344230 1.1412348169 0.7436639401 0.9372366854 0.8378366426 3.0034800887 0.9520428552 1.4773709954 0.8559033366 0.7801916681 2.4891856580 0.2328368917 2.2198596190 2.9507942752 -0.2791819393 1.2289097572 0.2457169069 0.7504699914 
